Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,City,Tags,place_id
Travel Agents,SENOK TRAVEL (PVT)LTD,"NO259/1,GALLE ROAD ,COLOMBO 04",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1169
Restaurants,SENSASIA,"NO 96/A/3,PERALANDA,RAGAMA",B,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,Ragama,restaurants,1170
Travel Agents,SENSES HOLIDAY (PVT)LTD,"14M,MOOR ROAD, COLOMBO 06",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1171
Spa & Wellness Centers,SENSES SPA.,"NO 48,JANADHIPATHI MAWATHA,COLOMBO 01.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 01.,spa-and-wellness-centers wellness,1172
Restaurants,SENWIN RESTAURANT,"NO 266A, MANAMPITA, THALGASWALA",A,Galle,Nivitigala Pradeshiya Sabha,Niyagama Divisional Secretariat,Thalgaswala,restaurant restaurants,1173
Restaurants,SEOUL,"NO.28/1,HORTON PLACE,COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,1174
Travel Agents,SERENDIB HOLIDAYS (PVT) LTD,"NO:86-2/1A,CHATHAM STREET,COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1175
Travel Agents,SERENDIPITY ESCAPES (PRIVATE) LIMITED,"23/6A.DHARMASHOKA MAWATHA,KANDY.",Unrated,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,Kandy.,tour-operator travel-agents,1176
Travel Agents,SERENDIVUS INTERNATIONAL (PRIVATE) LIMITED,"NO.243, 3/1, HAVLOCK ROAD, COLOMBO 06",Unrated,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,tour-operator travel-agents,1177
Tourist Shops,SERENE GEM GALLERY,"NO.11, JOSEPH LANE, COLOMBO 04",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,shopping tourist-shops,1178
Travel Agents,SERENE VACATIONS LANKA ( PVT ) LTD,"NO 46/1/8 MARINE CITY BUSINESS COMPLEX.STATION ROAD,DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,1179
Travel Agents,SETMIL AVIATION (PVT)LTD,"SETMIL MARITIME CENTER,256, SRIMATH RAMANATHAN MAWATHA, COLOMBO 15",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1180
Travel Agents,SETMIL TRAVELS & TOURS (PVT) LTD,"SETMIL MERITIME CENTRE, NO.256, SRIMATH RAMANATHAN MAWATHA, COLOMBO 15",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1181
Restaurants,SEVEN ELEVEN RESTAURANT & BAR,"1ST FLOOR,CAPITAL MALL,531MADIWELA RD,THALAWATHUGODA",A,Colombo,Mahara Pradeshiya Sabha,Maharagama Divisional Secretariat,Thalawathugoda,nightlife restaurant restaurants,1182
Travel Agents,SEYLAN ADVENTURES (PVT) LTD,"NO. THE KING BUILDING -67, 4/4, BANDARANAYAKA MAWATHA, COLOMBO 12.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 12.,tour-operator travel-agents,1183
Restaurants,SHAN CITY CHINEESE RESTAURANT,"27/3/1,,KOTUGODELLA VEEDIYA,,KANDY.",B,Kandy,Kandy,Kandy Divisional Secretariat,Kandy.,restaurant restaurants,1184
Restaurants,SHAN RESTAURANT,"MARASSANA ROAD, KANDAKULA, THALATHUOYA",A,Kandy,Kandy,Pathadumbara Divisional Secretariat,Thalathuoya,restaurant restaurants,1185
Travel Agents,SHAN TOURS INTERNATIONAL (PVT) LTD,"NO.250, GALLE ROAD, HIKKADUWA",Unrated,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,Hikkaduwa,tour-operator travel-agents,1186
Restaurants,SHANDONG THE CHINESE KITCHEN,"NO. 1092, SRI JAYAWARDENAPURA MAWATHA, WELIKADA, RAJAGIRIYA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,Rajagiriya,asian-cuisine restaurant restaurants,1187
Restaurants,SHANGHAI CHINESE RESTAURANT,"NO. 90, GALLE ROAD, MOUNT LAVINIA",B,Colombo,Colombo,Mount Lavinia,Mount Lavinia,asian-cuisine restaurant restaurants,1188
Restaurants,SHANGHAI RESTAURANT,"NO: 209,HORANA ROAR,PILIYANDALA",B,Colombo,Colombo,Colombo Divisional Secretariat,Piliyandala,restaurant restaurants,1189
Restaurants,SHANGHAI TERRACE,"811, KOTTE ROAD, ETHUL KOTTE",A,Colombo,Colombo,Colombo Divisional Secretariat,Ethul Kotte,restaurants,1190
Travel Agents,SHANTHI ADVENTURE TOURS (PVT)LTD,"NO.9/8,SURANIMALA PLACE,COLOMBO 06.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 06.,tour-operator travel-agents,1191
Travel Agents,SHAZI TOURS,"36,SOMANANDA RD,NEDIMALA,DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,1192
Restaurants,SHERRY LAND RESTAURANT,"NO. 74, PORUTOTA ROAD, ETTUKALA, NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,restaurant restaurants,1193
Travel Agents,SHINKO LANKA TRAVELS,"NO:DV2/1/R, MANNING TOWN HOUSING, VICTORIA ROAD, COLOMBO 08",Unrated,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,tour-operator travel-agents,1194
Restaurants,SHINSHIO CHINESE RESTAURANT,"NO. 159, DUTUGAMUNU STREET, KOHUWELA, NUGEGODA",A,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Nugegoda,asian-cuisine restaurant restaurants,1195
Restaurants,SHIRANI RESTAURANT,"N0.53/1/1, D.S SENANAYAKE MW, COLOMBO 08.",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 08.,restaurant restaurants,1196
Travel Agents,SHUMS & SONS TRAVELS (PVT) LTD,"NO 33 A, QUEENS ROAD,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1197
Travel Agents,SHUMS HOLIDAYS{PVT}LTD,"33A QUEENS ROAD,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1198
Restaurants,SIAM HOUSE THAI RESTAURANT,"NO.17, MELBOURNE AVENUE COLOMBO 04",A,Colombo,Colombo,Colombo Divisional Secretariat,Melbourne Avenue Colombo,asian-cuisine restaurant restaurants,1199
Travel Agents,SIDDIQUE TRAVELS & TOURS,"NO.94,MANNAR ROAD,PUTTALAM.",Unrated,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,Puttalam.,tour-operator travel-agents,1200
Tourist Shops,SIFANI JEWELLERS,"845, PERADENIYA ROAD, KANDY.",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy.,tourist-shops,1201
Tourist Shops,SILK & STYLE,"AIRPORT GARDEN HOTEL, NEGOMBO ROAD, SEEDUWA",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Seeduwa,tourist-shops,1202
Tourist Shops,SILK GARDENS,"NO. 935, FIRST FLOOR, PERADENIYA ROAD, KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,tourist-shops,1203
Restaurants,SILK LOUNGE AND RESTAURANT,"41-,3/1,MAITLAND CRESCENT,COLOMBO 7",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,1204
Travel Agents,SILK PATH (PVT) LTD,"NO 66,NORRIS CANEL ROAD, COLOMBO 10",Unrated,Colombo,Colombo,Maradana,Colombo,tour-operator travel-agents,1205
Restaurants,SILK ROAD CHINESE RESTAURANT,"NO.7A, SIR EARNEST DE SILVA MAWATHA, COLOMBO 07.",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo 07.,asian-cuisine restaurant restaurants,1206
Travel Agents,SILK ROAD TRAVELS (PVT) LTD,"NO.23, 17TH LANE, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1207
Travel Agents,SILK WAY LANKA TRAVELS & TOURS (PVT) LTD,"NO;33/66, SUHADA MAWATHA, WEKADA, PANADURA",Unrated,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,Panadura,tour-operator travel-agents,1208
Travel Agents,SILVER LINE TOURS (PVT) LTD,"NO.1012, MARADANA ROAD,BORELLA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Borella,shopping tour-operator travel-agents,1209
Restaurants,SILVER RAY RESTAURANT,"NO 18,DIPPITIGALA, LELLOPITIYA",A,Ratnapura,Pelmadulla Pradeshiya Sabha,Pelmadulla Divisional Secretariat,Lellopitiya,restaurant restaurants shopping,1210
Travel Agents,SILVER SHORE HOLIDAYS (PVT) LTD,"NO.103 B, POORWARAMA MAWATHA, COLOMBO 5",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,shopping tour-operator travel-agents,1211
Restaurants,SILVER SPOON RESTAURANT,"NO. 953, THALANGAMA SOUTH, BATTARAMULLA",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Battaramulla,restaurant restaurants shopping,1212
Restaurants,SINGHARAJA,"120,GALLE ROAD KALUEAMODARA,ALUTHGAMA",A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,Aluthgama,restaurants,1213
Restaurants,SINHARA & COMPANY,"NO. 340, GALLE ROAD, RATMALANA",A,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,Ratmalana,restaurants,1214
Travel Agents,SINO ASIA HOLIDAYS {PVT}LTD,"NO 40,VISAKA ROAD,COLOMBO 04",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1215
Restaurants,SINTHAO CHINESE RESTAURANT,"NO. 8/1/2/2, DEHIWALA ROAD, MAHARAGAMA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,Maharagama,asian-cuisine restaurant restaurants,1216
Travel Agents,SIRI NATURE TOUR IN SRI LANKA,"NO.264/3/B, BATALANDA ROAD, MAKOLA SOUTH, MAKOLA.",Unrated,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,Makola.,tour-operator travel-agents,1217
Spice Gardens,SIRILAK SPICE GARDEN,"NO. 50, KAWDUPALALLA, MATALE",Unrated,Matale,Matale,Matale Divisional Secretariat,Matale,garden spice-gardens,1218
Travel Agents,SITA WORLD TRAVEL LANKA (PVT) LTD,"NO.118C, BARNES PLACE, COLOMBO 07.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 07.,tour-operator travel-agents,1219
Restaurants,SIYANA AWANHALA,"NO. 133B, DISSAWATTA, HANWELLA",A,Colombo,Seethawaka Pradeshiya Sabha,Seethawaka Divisional Secretariat,Hanwella,restaurants,1220
Restaurants,SKY BOLLYWOOD LOUNGE,"NO-9,STATION ROAD,COLOMBO-04",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo-,restaurants,1221
Travel Agents,SKY LINE TRAVELS (PVT) LTD,"NO 37, CATHOLIC CENTER, ST.ANNE'S STREET, KURUNEGALA",Unrated,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,Kurunegala,tour-operator travel-agents,1222
Travel Agents,SKY LINK TOURS(PVT)LTD,"NO:92B,PAMUNUWA,MAHARAGAMA",Unrated,Colombo,Maharagama,Maharagama Divisional Secretariat,Maharagama,tour-operator travel-agents,1223
Travel Agents,SKY WORLD TRAVELS (PVT) LTD,"F-21, PEOPLES PARK COMPLEX, COLOMBO 11",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1224
Travel Agents,SKYMARK TRAVELS,"NO.1B, STAMBOUL PLACE, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1225
Travel Agents,SKYWAYS,"NO. 36/1, SIRIPA ROAD, COLOMBO 05",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1226
Travel Agents,SKYWINGS TRAVELS AND TOURS PVT LTD,"142 2/3, GALLE ROAD, COLOMBO 6",Unrated,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,tour-operator travel-agents,1227
Travel Agents,SMART LANKA VISITORS PVT LTD,"157/10, RANDALU MAWATHA,RADDOLUWA,KOTUGODA",Unrated,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,Kotugoda,tour-operator travel-agents,1228
Travel Agents,SMART TOURS,"SMART TOURS,NO 39/1/I,MAKOLA SOUTH, MAKOLA",Unrated,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,Makola,tour-operator travel-agents,1229
Travel Agents,SMILE LEISURE MANAGEMENT & TOUR SERVICE (PVT) LTD,"NO.22,6TH LANE,JAMBUGASMULLA MAWATHA,NUGEGODA.",Unrated,Colombo,Maharagama,Maharagama Divisional Secretariat,Nugegoda.,tour-operator travel-agents,1230
Travel Agents,SOFTLOGIC DESTINATION MANAGEMENT (PVT) LTD,"NO. 321 B 1A, LAXSHMAN BUILDING, ST. ANTHONY'S MAWATHA, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1231
Restaurants,SOLIS TOURIST RESTAURANT,"NO. 533 A, NAWALA ROAD, RAJAGIRIYA",A,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,Rajagiriya,restaurant restaurants,1232
Travel Agents,SONALY TOURS & TRAVELS (PVT) LTD,"NO. 89/20, JINADASA NANDASENA MAWATHA, KIRIBATHGODA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Kiribathgoda,tour-operator travel-agents,1233
Restaurants,SOPRANOS,"NO. 29, MAITLAND CRESCENT COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat,Maitland Crescent Colombo,restaurants,1234
Restaurants,SOVEREIGN GERMAN RESTUARANT,"NO. 157, NAWALA ROAD, NUGEGODA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,Nugegoda,restaurants,1235
Spa & Wellness Centers,SPA CENVAREE,"CENTARA CEYSANDS RESORT AND SPA,BENTOTA",Unrated,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,Bentota,spa-and-wellness-centers wellness,1236
Spa & Wellness Centers,SPA CEYLON -HERITANCE NEGOMBO,"175, LEWIS PLACE, NEGOMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,beach spa-and-wellness-centers wellness,1237
Spa & Wellness Centers,SPA CEYLON AYURUVEDA,"SHOP NO. 11, DUTCH HOSPITAL BUILDING,BANK OF CEYLON MW, COLOMBO 01.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 01.,spa-and-wellness-centers wellness,1238
Spa & Wellness Centers,SPA CEYLON AYURVEDA,"NO:103/7,GALLE ROAD,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,spa-and-wellness-centers wellness,1239
Spa & Wellness Centers,SPA CEYLON AYURVEDA - COLOMBO 02,"48D, PARK STREET, COLOMBO 02",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,spa-and-wellness-centers wellness,1240
Spa & Wellness Centers,SPA CEYLON AYURVEDA - GALLE FORT,"NO.54/A,LIGHT HOUSE STREET,GALLE FORT.",Unrated,Galle,Galle,Galle Divisional Secretariat,Galle Fort.,spa-and-wellness-centers wellness,1241
Spa & Wellness Centers,SPA CEYLON AYURVEDA - HIKKADUWA,"NO.400, GALLE ROAD, HIKKADUWA",Unrated,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,Hikkaduwa,beach spa-and-wellness-centers wellness,1242
Spa & Wellness Centers,"SPA CEYLON AYURVEDA,MOVENPICK HOTEL","NO24, DARMAPALA MAWATHA,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,spa-and-wellness-centers stay wellness,1243
Spa & Wellness Centers,SPA CEYLON AYURVEDA-BATTARAMULLA,"NO. 1020,,PANNIPITIYA ROAD,BATTARAMULLA",Unrated,Colombo,Kaduwela Pradeshiya Sabha,Battaramulla,Battaramulla,spa-and-wellness-centers wellness,1244
Spa & Wellness Centers,SPA CEYLON AYURVEDA-MAHAWELI REACH,"MAHAWELI REACH HOTEL, NO. 35, P.B.A. WEERAKOON MAWATHA, KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,spa-and-wellness-centers wellness,1245
Spa & Wellness Centers,SPA OYA,"LAKE VIEW,ARUNALU,GINIWELLA, KOGGOLA, AHANGAMA",Unrated,Galle,Galle,Habaraduwa Divisional Secretariat,Ahangama,spa-and-wellness-centers wellness,1246
Travel Agents,SPARKLINK HOLIDAYS & TOURS (PVT) LTD,"NO.39, ST MICHEALS ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1247
Travel Agents,SPARKLINK TRAVELS (PVT) LTD,"""NIHALSONS BUILDING"", NO.39, ST. MICHAELS ROAD, COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1248
Travel Agents,SPARTON TRAVELS (PVT) LTD,"NO.11,SHOPPINA COMPLEX ""C"" GREENS ROAD,NEGAMBO",Unrated,Gampaha,Negombo,Katana Divisional Secretariat,Negambo,tour-operator travel-agents,1249
Travel Agents,SPICELAND DESTINATIONS LANKA (PVT) LTD,"NO. 9 1/2 (2ND FLOOR), UPATISSA ROAD, COLOMBO 04.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 04.,tour-operator travel-agents,1250
Travel Agents,SPICELAND HOLIDAYS (PVT ) LTD,"174/3/3 2ND FLOOR,SAMPATH BANK BULDING,RAGAMA ROAD,KADAWATHA",Unrated,Gampaha,Mahara Pradeshiya Sabha,Mahara Divisional Secretariat,Kadawatha,tour-operator travel-agents,1251
Travel Agents,SPLENDTOURS (PVT) LTD,"210/V, PILIYANDALA ROAD, PALANWATTA, PANNIPITIYA",Unrated,Colombo,Homagama Pradeshiya Sabha,Homagama Divisional Secretariat,Pannipitiya,tour-operator travel-agents,1252
Restaurants,SPOON & PAN RESTAURANT,"NO. 673/1, KANDY ROAD, PELIYAGODA, PATTIYA JUNCTION-KELANIYA",A,Gampaha,Peliyagoda,Kelaniya Divisional Secretariat,Pattiya Junction-Kelaniya,restaurant restaurants,1253
Travel Agents,SPRINT TRAVELS & TOURS,"NO.35, GALLE FACE COURT 01, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1254
Restaurants,SRI JAYA SADA NIKETHANAYA,"MEEGAHAPELASSA, WELIPENNAGAHAMULA",A,Kurunegala,Udubaddawa Pradeshiya Sabha,Udubaddawa Divisional Secretariat,Welipennagahamula,restaurants,1255
Restaurants,SRI LAND TRADING RESTAURANT,"NO. 16, RAGALA RD, RIKILLAGASKADA",A,Nuwara Eliya,Nuwara Eliya,Hanguranketha Divisional Secretariat,Rikillagaskada,restaurant restaurants,1256
Water Sports Centers,SRI LANKA DIVING TOURS,"159/B PORUTOTA ROAD , PALLANGATHURAI KOCHCHIKADE",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Pallangathurai Kochchikade,tour-operator water-sports-centers watersport,1257
Travel Agents,SRI LANKAN GETAWAYS (PVT)LTD,"01ST FLOOR,NO.256,NEGOMBO ROAD,KURUNEGALA",Unrated,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,Kurunegala,tour-operator travel-agents,1258
Restaurants,SRI SIAM AUTHENTIC THAI RESTAURANT,"68,W.A SILVA MAWATHA, WELLAWATTE,COLOMBO 06",B,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,asian-cuisine restaurant restaurants,1259
Travel Agents,SRIEKO HOLIDAYS (PVT)LTD,"NO 41 ,SANJEEWA BUILDING,NEGOMBO RD,SEEDUWA,SRI LANKA",Unrated,Gampaha,Gampaha,Gampaha Divisional Secretariat,Sri Lanka,tour-operator travel-agents,1260
Travel Agents,SRILAK TRAVELS AND TOURS,"104, MUHANDIRAM ROAD, COLOMBO 3.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 3.,tour-operator travel-agents,1261
Travel Agents,SRILANKA TRAVELS & TOURS,"NO: 395A, GALLE ROAD, HIKKADUWA",Unrated,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,Hikkaduwa,tour-operator travel-agents,1262
Water Sports Centers,SRILANKAKITE,"DOLPHIN VIEW ECO LODGE,SETHAWADIYA,61360 KALPITIYA.",Unrated,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,61360 Kalpitiya.,water-sports-centers watersport,1263
Travel Agents,STAR CLUB (PVT) LTD,"NO.136B,STANLEY THILAKARATNE MAWATHA,NUGEGODA.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Nugegoda.,tour-operator travel-agents,1264
Travel Agents,STAR DESTINATIONS (PRIVATE) LIMITED,"01ST FLOOR CBS BUILDING,282/1, GALLE ROAD,COLOMBO 03.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 03.,tour-operator travel-agents,1265
Restaurants,STAR HOTEL,"NO.7, SEA STREET, COLOMBO 11",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants stay,1266
Travel Agents,STAR WORLD TRAVELS (PVT) LTD,"NO:234/1, BCC BUILDING , DHARMAPALA MAWATHA, MATARA",Unrated,Matara,Matara,Matara Divisional Secretariat,Matara,tour-operator travel-agents,1267
Travel Agents,STARRON TOURS(PVT)LTD,"NO 01 DR.E.W ADIKARAM MW,PITAKOTTE",Unrated,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,Pitakotte,tour-operator travel-agents,1268
Restaurants,STEAM BOAT (NAWALA),"NO.14, NARAHENPITA ROAD, NAWALA",A,Colombo,Colombo,Colombo Divisional Secretariat,Nawala,restaurants watersport,1269
Travel Agents,STERLING HOLIDAYS (PVT) LTD,"NO:03,SAMAGI MAWATHA,DANDOLLA WATTA,NITTAMBUWA",Unrated,Gampaha,Gampaha,Attanagalla Divisional Secretariat,Nittambuwa,tour-operator travel-agents,1270
Travel Agents,SUDANS INTERNATIONAL TRAVELS AND TOURS (PVT) LTD,"NO.24B, PARANAWATTA, HENDALA, WATTALA",Unrated,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,Wattala,tour-operator travel-agents,1271
Restaurants,SUDARSHAN RESTAURANT,"NO 08,FRANKFORT PLACE,COLOMBO 04.",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 04.,restaurant restaurants,1272
Restaurants,SUEHIRO LANKA RESTAURANT,"AKKARAWATTA, NABETA, MELSIRIPURA, KURUNEGALA",A,Kurunegala,Ibbagamuwa Pradeshiya Sabha,Ibbagamuwa Divisional Secretariat,Kurunegala,restaurant restaurants,1273
Restaurants,SUGAR,"G05, OLD DUTCH HOSPITAL, FORT, GALLE",B,Galle,Galle,Galle Divisional Secretariat,Galle,restaurants,1274
Restaurants,SUGAR BISTRO & WINE BAR,"NO. 77, GALLE ROAD, COLOMBO 03.",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 03.,nightlife restaurant restaurants,1275
Restaurants,SUMIHIRI ARUNALOKA HOTEL & RESTAURANT,"NO. 504 1/1, AMBALANGODA ROAD, KURUNDUGAHA HETHEKMA, ELPITIYA",A,Galle,Galle,Elpitiya Divisional Secretariat,Elpitiya,restaurant restaurants stay,1276
Travel Agents,SUMMER INFINITIY (PVT)LTD,"NO: 411/27 A, ARTIGALA MAWATHA,SRI JAYAWARDENAPUARA ROAD,RAJAGIRIYA",Unrated,Colombo,Sri Jayawardenapura-Kotte,Battaramulla,Rajagiriya,tour-operator travel-agents,1277
Travel Agents,SUMMER VOYAGES (PVT) LTD,"NO. 133/14 B, DUWA ROAD, BADDAGANA KOTTE",Unrated,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,Baddagana Kotte,tour-operator travel-agents,1278
Travel Agents,SUMMIT LANKA TRAVELS AND TOURS,"260,I.D.H ROAD,KOTIKAWATTA,ANGODA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Angoda,tour-operator travel-agents,1279
Restaurants,SUN FLOWERS RESTAURANT,"BEACH SIDE,OFF POLICE BUNGLOW ROAD,MORAGALLA,BERUWALA",B,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,Beruwala,restaurant restaurants,1280
Travel Agents,SUNBIRD LANKA TOURS & TRAVELS (PVT)LTD,"NO.403,HENDALA,WATTALA",Unrated,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,Wattala,tour-operator travel-agents,1281
Travel Agents,SUNCITY TRAVELS & TOURS (PVT) LTD,"NO. 7 1/4A, ORCHARD COMPLEX, GALLE ROAD, COLOMBO 06",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,1282
Restaurants,SUNLIGHT GARDEN SEAFOOD RESTAURANT,"NO. 21 , ABDUL GAFOOR MAWATHA COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,Abdul Gafoor Mawatha Colombo,garden restaurant restaurants,1283
Travel Agents,SUNLINE TRAVELS AND TOURS (PVT) LTD,"NO:86 1/1,LEWIS PLACE,NEGAMBO",Unrated,Gampaha,Negombo,Gampaha Divisional Secretariat,Negambo,tour-operator travel-agents,1284
Travel Agents,SUNPOWER TRAVELS (PVT) LTD,"BIBLE HOUSE BUILDING,GROUND FLOOR,NO;293,GALLE ROAD,COLOMBO 03.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 03.,tour-operator travel-agents,1285
Travel Agents,SUNS MART GROUP TRAVELS (PVT) LTD,"NO:132/2/8, HILL CITY COMPLEX, D.S. SENANAYAKE VEEDIYA, KANDY",Unrated,Kandy,Pathahewaheta,Gagawata,Kandy,tour-operator travel-agents,1286
Water Sports Centers,SUNSET ARALIYA WATER SPORTS,"GALLE ROAD , KALUWAMODARA , ALUTHGAMA.",Unrated,Kalutara,Aluthgama,Beruwala Divisional Secretariat,Aluthgama.,water-sports-centers watersport,1287
Travel Agents,SUNWAY INTERNATIONAL (PVT) LTD,"NO:25,KIBULAPITIYA ROAD,NEGAMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negambo,tour-operator travel-agents,1288
Travel Agents,SUPER LANKA TRAVELS INTERNATIONAL (PRIVATE) LIMITED,"NO. 37/37, SANASA SQUARE, COURTS ROAD, GAMPAHA.",Unrated,Gampaha,Gampaha,Gampaha Divisional Secretariat,Gampaha.,tour-operator travel-agents,1289
Travel Agents,SUPER TAPROBANE TOURS (PVT) LTD,"NO. 36/12, DE SARAM ROAD, MOUNT LAVINIA",Unrated,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,Mount Lavinia,tour-operator travel-agents,1290
Travel Agents,SUPERLINK AIR (PVT) LTD,"NO:70,'LUCKY PLAZA',KOLLUPITIYA LANE,COLOMBO 03.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 03.,tour-operator travel-agents,1291
